
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1652
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       38668
  TCP    0.0.0.0:3080           0.0.0.0:0              LISTENING       34160
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       12540
  TCP    0.0.0.0:4523           0.0.0.0:0              LISTENING       18872
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       7444
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       26908
  TCP    0.0.0.0:7897           0.0.0.0:0              LISTENING       21768
  TCP    0.0.0.0:8090           0.0.0.0:0              LISTENING       12716
  TCP    0.0.0.0:18081          0.0.0.0:0              LISTENING       6228
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       12540
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1396
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1208
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2380
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       3828
  TCP    0.0.0.0:49703          0.0.0.0:0              LISTENING       10460
  TCP    0.0.0.0:49743          0.0.0.0:0              LISTENING       1320
  TCP    0.0.0.0:51877          0.0.0.0:0              LISTENING       6228
  TCP    0.0.0.0:59605          0.0.0.0:0              LISTENING       9568
  TCP    10.30.65.63:139        0.0.0.0:0              LISTENING       4
  TCP    10.30.65.63:49477      98.66.133.185:443      ESTABLISHED     12412
  TCP    10.30.65.63:49736      157.255.209.248:80     CLOSE_WAIT      4008
  TCP    10.30.65.63:50190      10.30.80.169:19530     ESTABLISHED     34160
  TCP    10.30.65.63:50203      14.152.80.254:443      ESTABLISHED     21768
  TCP    10.30.65.63:50209      27.221.68.43:443       ESTABLISHED     9320
  TCP    10.30.65.63:50315      10.30.80.183:6379      ESTABLISHED     6228
  TCP    10.30.65.63:50464      183.60.8.74:8080       ESTABLISHED     4008
  TCP    10.30.65.63:50500      110.242.74.203:80      ESTABLISHED     9320
  TCP    10.30.65.63:50628      39.91.132.68:443       CLOSE_WAIT      51256
  TCP    10.30.65.63:50635      39.91.132.69:443       CLOSE_WAIT      51256
  TCP    10.30.65.63:50636      115.190.127.84:443     CLOSE_WAIT      51256
  TCP    10.30.65.63:50769      1.92.110.60:443        CLOSE_WAIT      64944
