
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      6,532 K
Secure System                  236 Services                   0    114,532 K
Registry                       280 Services                   0     48,604 K
smss.exe                       876 Services                   0        408 K
csrss.exe                     1096 Services                   0      3,552 K
wininit.exe                   1208 Services                   0      3,824 K
csrss.exe                     1216 Console                    1      4,984 K
winlogon.exe                  1300 Console                    1      6,900 K
services.exe                  1320 Services                   0      9,276 K
LsaIso.exe                    1388 Services                   0      1,316 K
lsass.exe                     1396 Services                   0     21,028 K
svchost.exe                   1532 Services                   0     42,756 K
fontdrvhost.exe               1572 Services                   0      1,644 K
fontdrvhost.exe               1584 Console                    1     12,148 K
svchost.exe                   1652 Services                   0     21,004 K
WUDFHost.exe                  1664 Services                   0     13,212 K
svchost.exe                   1744 Services                   0      5,724 K
svchost.exe                   1756 Services                   0     15,184 K
dwm.exe                       1884 Console                    1    294,284 K
svchost.exe                   2016 Services                   0      1,804 K
svchost.exe                   2032 Services                   0      4,656 K
svchost.exe                   1220 Services                   0     13,644 K
svchost.exe                   1460 Services                   0      4,664 K
svchost.exe                   1348 Services                   0      8,612 K
svchost.exe                   2052 Services                   0     12,328 K
WUDFHost.exe                  2168 Services                   0      8,380 K
svchost.exe                   2244 Services                   0      7,780 K
svchost.exe                   2260 Services                   0      3,716 K
svchost.exe                   2340 Services                   0      7,248 K
svchost.exe                   2348 Services                   0      6,268 K
svchost.exe                   2380 Services                   0     11,836 K
svchost.exe                   2444 Services                   0      5,692 K
IntelCpHDCPSvc.exe            2592 Services                   0      2,212 K
svchost.exe                   2604 Services                   0      6,016 K
svchost.exe                   2636 Services                   0      5,836 K
svchost.exe                   2644 Services                   0      2,332 K
svchost.exe                   2668 Services                   0     25,440 K
svchost.exe                   2764 Services                   0      5,824 K
WUDFHost.exe                  2936 Services                   0      2,692 K
svchost.exe                   3016 Services                   0     16,708 K
ELAN_MOC_Service.exe          2412 Services                   0      2,972 K
svchost.exe                   3084 Services                   0      8,836 K
ICS.exe                       3400 Services                   0      1,256 K
svchost.exe                   3424 Services                   0      3,888 K
WUDFHost.exe                  3516 Services                   0      3,460 K
conhost.exe                   3604 Services                   0      2,064 K
svchost.exe                   3652 Services                   0      7,200 K
svchost.exe                   3664 Services                   0      2,964 K
NVDisplay.Container.exe       3868 Services                   0     17,768 K
suservice.exe                 3964 Services                   0      1,856 K
AndrowsSvr.exe                3972 Services                   0     24,900 K
svchost.exe                   3828 Services                   0     13,564 K
svchost.exe                   3616 Services                   0      9,032 K
svchost.exe                   3484 Services                   0      2,160 K
svchost.exe                   3284 Services                   0      5,112 K
svchost.exe                   3996 Services                   0      4,708 K
Memory Compression            1864 Services                   0  3,255,168 K
svchost.exe                   4148 Services                   0      6,704 K
AppHelperCap.exe              4236 Services                   0     15,320 K
svchost.exe                   4244 Services                   0     19,252 K
DiagsCap.exe                  4252 Services                   0      5,184 K
svchost.exe                   4264 Services                   0      5,824 K
svchost.exe                   4272 Services                   0      7,856 K
TouchpointAnalyticsClient     4280 Services                   0     29,484 K
NetworkCap.exe                4288 Services                   0      6,224 K
SysInfoCap.exe                4296 Services                   0     19,620 K
hpsvcsscan.exe                4468 Services                   0     10,072 K
svchost.exe                   4652 Services                   0     13,736 K
NVDisplay.Container.exe       4792 Console                    1     23,880 K
svchost.exe                   4940 Services                   0     23,532 K
svchost.exe                   5356 Services                   0      4,044 K
svchost.exe                   5364 Services                   0      6,248 K
WmiPrvSE.exe                  5744 Services                   0     11,588 K
unsecapp.exe                  5932 Services                   0      4,272 K
svchost.exe                   6048 Services                   0      5,180 K
sihost.exe                    6820 Console                    1     29,180 K
svchost.exe                   6868 Console                    1      4,788 K
svchost.exe                   6876 Console                    1     23,592 K
svchost.exe                   6952 Console                    1      2,340 K
svchost.exe                   7020 Console                    1     34,520 K
svchost.exe                   6196 Services                   0     22,716 K
svchost.exe                   6184 Services                   0     10,592 K
svchost.exe                   7228 Services                   0     23,404 K
taskhostw.exe                 7336 Console                    1     15,672 K
